Hovedkategori;Underkategori;Beskrivelse;Relevante tilbudseksempler
Energi, miljø og grøn omstilling;Energi og infrastruktur;"Fokus: Energisystemets opbygning, drift og effektivitet – fx net, lagring og forsyning – uafhængigt af om energien er grøn eller ej. 
Dækker fx: Smart grids, energilagring, brintinfrastruktur, elnet og balancering.";"IDA Energi
IDA Energi, Østjylland
IDA Grøn Teknologi
IDA Køle- & Varmepumpe Teknologi
IDA Miljø
Miljø- og Energiteknisk gruppe, IDA Nordjylland
IDA Global Development 
IDA Nuclear
IDA Urban Food Systems 
Klima, ESG og bæredygtighedskurser + ISO kursus"
Energi, miljø og grøn omstilling;Vedvarende og alternative energiformer;"Fokus: Produktion og udvikling af energikilder, der kan erstatte fossile brændsler. 
Dækker fx: Solenergi, vind, bioenergi, atomkraft og nye teknologier til energiproduktion.";"IDA Energi
IDA Energi, Østjylland
IDA Grøn Teknologi
IDA Køle- & Varmepumpe Teknologi
IDA Miljø
Miljø- og Energiteknisk gruppe, IDA Nordjylland
IDA Global Development 
IDA Nuclear
IDA Urban Food Systems 
Klima, ESG og bæredygtighedskurser + ISO kursus"
IT og digitalisering;AI og Machine Learning;"Fokus: Systemer og algoritmer, der lærer af data og træffer beslutninger automatisk. Kategorien dækker både klassisk maskinlæring og nyere metoder som deep learning og neurale netværk – samt teknologiske fremskridt, der udvider de beregningsmæssige muligheder, herunder kvantebaseret AI.
Dækker fx: Kunstig intelligens, neurale netværk, maskinlæring, LLMs, deep learning, reinforcement learning, AI-modeller, kvantealgoritmer, kvantecomputing i AI, hybridmodeller (klassisk og kvantemæssig beregning), beregningstunge AI-systemer.";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;UX og UI;"Fokus: Brugeroplevelser og design af digitale brugergrænseflader.
Dækker fx: UX-design, UI-design, interaktionsdesign, wireframes, digitalt design";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;Programmering og softwareudvikling;"Fokus: Udvikling og kodning af software, apps og systemer.
Dækker fx: Python, R, SQL, DevOps, open source, Docker, Kubernetes";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;Cybersikkerhed;"Fokus: Teknisk beskyttelse mod digitale trusler, hacking og sårbarheder.
Dækker fx: ethical hacking, penetration testing, netværkssikkerhed, cloud-sikkerhed";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;Datascience og datavisualisering;"Fokus: Analyse og visualisering af data til indsigt og beslutningsstøtte.
Dækker fx: dataanalyse, datamodeller, Power BI, Tableau, statistiske metoder";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;IT-arkitektur og infrastruktur;"Fokus: Design og strukturering af IT-systemer og platforme.
Dækker fx: IT-arkitektur, cloud computing, Azure, netværk, driftssystemer";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;Compliance og datasikkerhed;"Fokus: Omfatter datasikkerhed som en del af teknisk arkitektur, systemintegration og drift.
Dækker fx: GDPR, privacy, dataetik, governance, dokumentation";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
IT og digitalisering;Værktøjer og programmer (EDB-skolen);"Fokus: Praktiske værktøjer til kontor, datahåndtering og automatisering.
Dækker fx: Microsoft 365, Excel, Power Automate, praktisk brug af standardsoftware";"IDA IT
IDA AI
IDA DataCompliance
IDA GameDev
IT-gruppen, IDA Østjylland
Elektronik og IT-gruppen, IDA Nordjylland
IDA Netværksgrupper inden for IT
Kurser: Data science, it-sikkerhed, it-udvikling + ISO 27001"
LifeScience og sundhed;Bioscience og bioteknologi;"Fokus: Dækker biologisk og molekylær forskning med relevans for sundhed og sygdom. Fokus er på at forstå kroppens opbygning og funktion på celle-, gen- og molekyleniveau. Kategorien rummer både grundforskning og teknologisk anvendelse, herunder syntetisk biologi og bioinformatik.
Dækker fx: Molekylærbiologi, genetik, DNA/RNA, proteiner, enzymfunktion, cellebiologi, mikrobiom, tarmbakterier, biomarkører, bioinformatik, laboratorieteknik, syntetisk biologi, biosikkerhed, hjerneforskning på molekylært niveau.";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
LifeScience og sundhed;Sundhedsteknologi;"Fokus: Omfatter teknologiske løsninger – fysiske såvel som digitale – til behandling, overvågning og pleje. Kategorien dækker både CE-mærket medicinsk udstyr, hjælpemidler og velfærdsteknologi, med fokus på funktion, dokumentation og implementering.
Dækker fx: Medicinsk udstyr, CE-mærkning, kirurgiske robotter, implantater, billeddiagnostik, sensorer, wearables, patientmonitorering, hjælpemidler (tale-, syns-, mobilitet), velfærdsteknologi, teknisk dokumentation, usability engineering, EEG, neurointerfaces, klinisk hardware.";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
LifeScience og sundhed;Pharma og lægemiddeludvikling;"Fokus: Omhandler udvikling, test og godkendelse af lægemidler – både kemiske og biologiske. Kategorien dækker hele værdikæden fra prækliniske studier til kliniske forsøg, regulatorisk compliance og produktion.
Dækker fx: Kliniske forsøg, studiedesign, lægemiddelgodkendelse (EMA, FDA), GxP, formulering, biofarmaci, bivirkningsregistrering, vaccineudvikling, farmakologi, præklinisk test, drug delivery, lægemiddelproduktion, hjerneforskning ved sygdom (fx Alzheimers).";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
LifeScience og sundhed;AI i sundhed;"Fokus: Dækker brugen af kunstig intelligens og machine learning i sundhedssektoren. Fokus er på datadrevne, adaptive systemer anvendt til klinisk støtte, forskning, administration og patientinteraktion.
Dækker fx: AI til billeddiagnostik, forudsigelse af sygdomsforløb, automatiseret beslutningsstøtte, natural language processing i journalisering, bias i sundhedsdata, etik og lovgivning omkring AI i behandling og triagering.";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
LifeScience og sundhed;Sundhedspolitik og praksis;"Fokus: Omfatter det tværgående arbejde med at omsætte viden og teknologi til praksis i sundhedsvæsenet. Kategorien favner strategi, samarbejde, implementering og sundhedsorganisatoriske forhold.
Dækker fx: Tværfagligt samarbejde, digital undervisning og e-læring, brugerinddragelse, implementering af ny teknologi, sundhedspolitik, kommunikation i sundhedsvæsenet, organisatoriske modeller og sektorforståelse.";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
LifeScience og sundhed;Ernæring og sundhed;"Fokus: Fokuserer på ernæringens rolle i behandling, forebyggelse og sundhedsfremme. Kategorien dækker ernæring i klinisk og kommunal praksis, herunder målrettede ernæringsindsatser og digitale løsninger. 
Dækker fx: Kostvejledning ved sygdom (fx diabetes, hjerte-kar, KOL), klinisk ernæringsterapi, e-sundhedsløsninger til kostmonitorering, ernæringsscreening, specialkost i hospitalsvæsenet, fødevarer som del af sundhedsfremme, kommunale ernæringsindsatser.
Bemærk: Generel viden om fødevarer og trivsel uden klinisk vinkel hører hjemme i Naturvidenskab > Fødevarer og ernæringsvidenskab.";"IDA Life Science
IDA Sundhedsteknologi
Sundhedsteknologisk udvalg, IDA Østjylland
Sundhedsteknologisk gruppe, IDA Nordjylland
The Danish Medical Writer Network
IDA Bioscience
IDA Risk
Tilbud som: Kemi og Bioteknik, IDA Nordjylland, og Kemi – og Bioteknologisk Udvalg, IDA Østjylland
Kurser: Pharma og medico"
Ledelse og projektledelse;Ledelse og team management;"Fokus: Udvikling af personlige lederkompetencer og styrkelse af relationer og samarbejde i teams. Understøtter både formelle og uformelle ledere.
Dækker fx: Uformel ledelse og personlig autoritet, ledelse af hybride eller distribuerede teams, karisma, gennemslagskraft og tillidsopbygning, ledelse af neurodivergente teams, motivation og performance, stressfri ledelse og arbejdsglæde";"IDA Lederforum
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx hvad ledere og organisationer kan gøre strategisk og kulturmæssigt for at fremme arbejdsmiljø og trivsel)
IDA Proces
IDA Netværksgrupper inden for ledelse
Kurser om ledelse og projektledelse + ISO om arbejdsmiljø + Lean Six Sigma-kurser"
Ledelse og projektledelse;Strategisk ledelse og organisationsudvikling;"Fokus: Hvordan ledere arbejder med retning, udvikling og tilpasning af organisationer – fra strategi til praksis.
Dækker fx: Strategiudvikling og –implementering, Forandringsledelse og organisatorisk transformation, Agil ledelse og Scrum på ledelsesniveau, Bestyrelsesarbejde og governance, Innovationsledelse og bæredygtig udvikling.";"IDA Lederforum
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx hvad ledere og organisationer kan gøre strategisk og kulturmæssigt for at fremme arbejdsmiljø og trivsel)
IDA Proces
IDA Netværksgrupper inden for ledelse
Kurser om ledelse og projektledelse + ISO om arbejdsmiljø + Lean Six Sigma-kurser"
Ledelse og projektledelse;Projektledelse og metoder;"Fokus: Planlægning, gennemførelse og styring af projekter – fra klassiske til agile metoder. Fokus på at give deltagerne konkrete værktøjer og forståelse for projekters livscyklus.
Dækker fx: Projektmodeller: Vandfaldsmodellen, Half Double, PRINCE2, IPMA, Agile metoder: Scrum, Kanban, SAFe, Projektroller og ansvar, Milepælsplanlægning og styringsværktøjer, Risikohåndtering, interessentanalyse og projektdefinition";"IDA Lederforum
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx hvad ledere og organisationer kan gøre strategisk og kulturmæssigt for at fremme arbejdsmiljø og trivsel)
IDA Proces
IDA Netværksgrupper inden for ledelse
Kurser om ledelse og projektledelse + ISO om arbejdsmiljø + Lean Six Sigma-kurser"
Ledelse og projektledelse;Arbejdsmiljø;"Fokus: Hvordan ledere fremmer trivsel og håndterer mentale og fysiske arbejdsvilkår. Fokus er på forebyggelse og skabelse af psykologisk trygge arbejdsmiljøer.
Dækker fx: Psykisk arbejdsmiljø og følelsesmæssige krav, stressforebyggelse og trivsel, mental sundhed og psykologisk tryghed, ergonomiske forhold og arbejdspladsvurderinger, ISO 45001 og systematisk arbejdsmiljøarbejde. 
Bemærk: Denne underkategori omfatter ikke faglige og tekniske aspekter af arbejdsmiljø som fx støj, kemikalier, ATEX, ergonomi eller arbejdsmiljølovgivning. Den type indhold hører i stedet hjemme under hovedkategorien Sikkerhed, forsvar og risiko < Arbejdsmiljøforhold, som dækker måling, regulering og beskyttelse mod fysiske risici og skadelige påvirkninger. Her i Ledelse og projektledelse fokuseres der i stedet på ledelsens rolle i at skabe sunde rammer for medarbejdere og teams.";"IDA Lederforum
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx hvad ledere og organisationer kan gøre strategisk og kulturmæssigt for at fremme arbejdsmiljø og trivsel)
IDA Proces
IDA Netværksgrupper inden for ledelse
Kurser om ledelse og projektledelse + ISO om arbejdsmiljø + Lean Six Sigma-kurser"
Ledelse og projektledelse;Procesledelse, kvalitet og optimering;"Fokus: Forbedring og effektivisering af arbejdsgange og kvalitet – ofte med udgangspunkt i velafprøvede modeller og standarder.
Dækker fx: Lean og Six Sigma (DMAIC, Kaizen, 5S), ISO-standarder (fx ISO 9001, ISO 14001), proceskortlægning og værdistrømsanalyse, kvalitetssikring og løbende forbedringer, effektivisering af teams og organisationsflow";"IDA Lederforum
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx hvad ledere og organisationer kan gøre strategisk og kulturmæssigt for at fremme arbejdsmiljø og trivsel)
IDA Proces
IDA Netværksgrupper inden for ledelse
Kurser om ledelse og projektledelse + ISO om arbejdsmiljø + Lean Six Sigma-kurser"
Produktion og industri;Produktion og automatisering;"Fokus: Effektivisering og automatisering af industrielle processer. Omfatter produktionsteknik, driftsoptimering, vedligehold og kvalitetssikring samt brugen af robotter og automatiserede løsninger i praksis.
Dækker fx: produktion, procesoptimering, produktionsoptimering, operationsanalyse, six sigma, LEAN, driftsoptimering, kvalitet, vedligehold, TPM, automation, robot, robotter, SCADA, industrirobotter, mekatronik, cobots, sensorintegration, styringsteknologi";"IDA Automation
IDA Supply Chain
IDA GearTechnical Interest Group (GIG)
IDA Mechanical
Mechanical Sjælland
Mechanical Fyn og Jylland 
Maskin, Skibs og Produktionsteknisk gruppe – IDA Nordjylland 
IDA Materialeteknologi 
IDA Polymer 
IDA Kemi 
Kemiteknisk Udvalg, IDA Syd 
Kemiteknisk Gruppe, IDA Fyn 
Kurser: ISO-kurser (CE-mærkning af maskiner og udstyr)"
Produktion og industri;Materialeteknologi;"Fokus: Udvikling og anvendelse af materialer som plast, polymerer, metaller og kompositter, herunder avancerede fremstillingsteknologier som 3D-print og coating.
Dækker fx: polymer, plast, materialer, 3d print, 3d-print, coating, metal, fiber, kompositter, overfladebehandling, printteknologier";"IDA Automation
IDA Supply Chain
IDA GearTechnical Interest Group (GIG)
IDA Mechanical
Mechanical Sjælland
Mechanical Fyn og Jylland 
Maskin, Skibs og Produktionsteknisk gruppe – IDA Nordjylland 
IDA Materialeteknologi 
IDA Polymer 
IDA Kemi 
Kemiteknisk Udvalg, IDA Syd 
Kemiteknisk Gruppe, IDA Fyn 
Kurser: ISO-kurser (CE-mærkning af maskiner og udstyr)"
Produktion og industri;Maskinteknik;"Fokus: Design, analyse og drift af mekaniske systemer. Omfatter konstruktion, dimensionering og drift af gear, lejer, pumper og tekniske strukturer.
Dækker fx: gear, mekaniske systemer, lejer, transmission, maskinkonstruktion, mekanik, vibrationer, pumper, hydraulik, FEM, dimensionering, maskinteknik, statik, styrkeberegninger";"IDA Automation
IDA Supply Chain
IDA GearTechnical Interest Group (GIG)
IDA Mechanical
Mechanical Sjælland
Mechanical Fyn og Jylland 
Maskin, Skibs og Produktionsteknisk gruppe – IDA Nordjylland 
IDA Materialeteknologi 
IDA Polymer 
IDA Kemi 
Kemiteknisk Udvalg, IDA Syd 
Kemiteknisk Gruppe, IDA Fyn 
Kurser: ISO-kurser (CE-mærkning af maskiner og udstyr)"
Produktion og industri;AI og digitalisering i produktion;"Fokus: Digital transformation af industrien gennem brug af data, software og kunstig intelligens. Omfatter anvendelse af digitale værktøjer til analyse, optimering og automatisering.
Dækker fx: machine learning, digitalisering, microsoft, platform, power, software, tableau, FEM, CAD, simulering, CAM, MATLAB, dataintegration, predictive maintenance, digitale tvillinger";"IDA Automation
IDA Supply Chain
IDA GearTechnical Interest Group (GIG)
IDA Mechanical
Mechanical Sjælland
Mechanical Fyn og Jylland 
Maskin, Skibs og Produktionsteknisk gruppe – IDA Nordjylland 
IDA Materialeteknologi 
IDA Polymer 
IDA Kemi 
Kemiteknisk Udvalg, IDA Syd 
Kemiteknisk Gruppe, IDA Fyn 
Kurser: ISO-kurser (CE-mærkning af maskiner og udstyr)"
Produktion og industri;Supply Chain;"Fokus: Styring af den industrielle værdikæde – fra leverandør til kunde. Omfatter logistik, planlægning, sourcing og distribution. Tilbud med fokus på bæredygtighed og cirkulær produktion indgår også her.
Dækker fx: supply chain, logistik, lagerstyring, produktionsplanlægning, distributionsnetværk, indkøb, sourcing, fragt, ruteoptimering, bæredygtighed, genanvendelse, cirkulær produktion, affaldsminimering, ressourceeffektivitet.";"IDA Automation
IDA Supply Chain
IDA GearTechnical Interest Group (GIG)
IDA Mechanical
Mechanical Sjælland
Mechanical Fyn og Jylland 
Maskin, Skibs og Produktionsteknisk gruppe – IDA Nordjylland 
IDA Materialeteknologi 
IDA Polymer 
IDA Kemi 
Kemiteknisk Udvalg, IDA Syd 
Kemiteknisk Gruppe, IDA Fyn 
Kurser: ISO-kurser (CE-mærkning af maskiner og udstyr)"
Forretningsudvikling og innovation;Innovation og produktudvikling;"Fokus: Omfatter kreative og systematiske metoder til at udvikle nye idéer, produkter, services og løsninger med udgangspunkt i brugernes behov. Kategorien favner hele udviklingsprocessen fra idégenerering til test og tilpasning – før arbejdet med strategi og salg.
Dækker fx: Design thinking, service design, kreative metoder, idéudvikling, innovationsprocesser, behovsafdækning, brugerrejser, prototyping, test og iteration, design sprints og tidlig konceptudvikling.";"IDA Selvstændig 
Kurser: Innovation + Rådgivning, salg og forretningsudvikling"
Forretningsudvikling og innovation;Forretningsudvikling og strategi;"Fokus: Handler om at skabe og udvikle strukturen bag en bæredygtig forretning. Kategorien fokuserer på, hvordan man organiserer sin virksomhed, skaber værdi og positionerer sig strategisk – både i etablerede virksomheder og i startups.
Dækker fx: Business model canvas, værditilbud, markedspositionering, vækststrategi, kundesegmenter, konkurrentanalyse, strategisk ledelse, bæredygtige forretningsmodeller og innovationsstrategier.";"IDA Selvstændig 
Kurser: Innovation + Rådgivning, salg og forretningsudvikling"
Forretningsudvikling og innovation;Salg og strategisk forhandling;"Fokus: Omfatter metoder og værktøjer til at kommunikere, forstå og sælge til kunder og samarbejdspartnere. Fokus er på værdiskabende dialog, præsentation og relationsopbygning i rådgivnings- og salgsprocesser.
Dækker fx: Salgsteknikker, behovsafdækning, kunderejser, relationsopbygning, præsentationsteknik, værdibaseret rådgivning, salgspsykologi, kundetyper og kommunikation med beslutningstagere.";"IDA Selvstændig 
Kurser: Innovation + Rådgivning, salg og forretningsudvikling"
Forretningsudvikling og innovation;Forhandling og påvirkning;"Fokus: Dækker kompetencer i at opnå aftaler, navigere i uenighed og styrke sin position i samtaler og samarbejder. Kategorien har fokus på strategi, psykologi og retorik i taktiske forløb – uafhængigt af salgsfokus.
Dækker fx: Forhandlingsteknik, win-win-metoder, psykologisk påvirkning, overbevisning, konflikthåndtering, interesseafklaring, forhandlingsforberedelse og beslutningsdynamikker.";"IDA Selvstændig 
Kurser: Innovation + Rådgivning, salg og forretningsudvikling"
Forretningsudvikling og innovation;Selvstændige og startups;"Fokus: Retter sig mod personer, der starter, driver eller udvikler egen virksomhed – fx solo-selvstændige, freelancere eller iværksættere. Kategorien favner både forretningsdrift og den personlige udvikling som aktør i eget brand.
Dækker fx: Opstart af virksomhed, freelancearbejde, CVR og registrering, forretningsudvikling for selvstændige, prissætning, budget og regnskab, branding, netværk, pitch og personlig synlighed.";"IDA Selvstændig 
Kurser: Innovation + Rådgivning, salg og forretningsudvikling"
Sikkerhed, forsvar og risiko;Risikostyring og beredskab;"Fokus: Systematisk identifikation, vurdering og håndtering af risici. Omfatter også brandforebyggelse, krisehåndtering, beredskabsplanlægning og teknisk sikkerhed i organisationer og anlæg.
Dækker fx: risikostyring, risikovurdering, brandforebyggelse, beredskab, brandteknik, katastrofeberedskab, HAZOP, QHSE, evakueringsplaner, brandøvelser, operativ beskyttelse, krisehåndtering, slukningsudstyr";"IDA Militærteknik 
IDA Risk 
IDA Brandteknik 
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx tilbud som omhandler det faglige, tekniske og lovgivningsmæssige omkring arbejdsmiljø, herunder sikkerhedsstandarder, fysisk miljø og sundhedsrisici.)"
Sikkerhed, forsvar og risiko;Militærteknologi;"Fokus: Udvikling og anvendelse af teknologi i militære kontekster. Omfatter forsvarsteknologi, trusselsbilleder og ledelse i militære organisationer.
Dækker fx: militærteknologi, forsvar, våbensystemer, kommunikationssystemer, sensorteknologi, angreb, ledelse i forsvaret, kapacitetsopbygning";"IDA Militærteknik 
IDA Risk 
IDA Brandteknik 
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx tilbud som omhandler det faglige, tekniske og lovgivningsmæssige omkring arbejdsmiljø, herunder sikkerhedsstandarder, fysisk miljø og sundhedsrisici.)"
